item,why_absent,upgrade_source,priority,notes
Philippine first-of-a-kind SMR project cost,No Philippine SMR has a financed project cost or operating record.,Bankable Philippine vendor EPC financing owner cost and contingency study.,high,"The NREL 8000 USD/kW benchmark is a central technology proxy, not a project quote."
Long-term Philippine technology deployment scaling after 2029,"The 2030-2053 expansion envelopes are defensible policy-neutral upper bounds rather than forecasts of supply-chain, permitting, finance or grid capability.","Annual Philippine project pipeline, interconnection queue, permitting duration, domestic construction capacity, finance closures and transmission commissioning plan by technology.",high,Sensitivity testing is required for policy conclusions that bind on these later-period envelopes.
Distinct geothermal greenfield and existing-field repowering costs,"PHL_POW_GEO_OLD is the only geothermal technology, so expansion and replacement allowances share one inherited cost, performance and lifetime representation.","Philippine field-specific greenfield exploration/EPC and existing-field make-up drilling, refurbishment, lifetime and performance evidence.",high,No geothermal technology or commodity is added in this implementation.
AQUASTAT irrigation-boundary mismatch,The benchmark is net crop requirement while model source activity is gross withdrawal and modeled delivery applies losses.,"Reconcile NIA diversions, irrigated area, crop calendars, conveyance, application and return flows.",high,No demand or activity equality is added.
Groundwater infrastructure and source split,"Observed national source share is not a physical sectoral capacity; adequate stocks, safe yields and pumping-cost evidence are unavailable.","NWRB permits, aquifer safe yields, pumping depths and infrastructure stocks by service area.",high,"Zero groundwater is disclosed, not repaired with a fixed share."
Livestock climate scope,"No physical livestock stock, product, feed or manure activity exists in the model.",Add a traceable physical livestock sector before emissions accounting.,high,Do not claim national-agriculture completeness.
Dedicated charcoal chain,Household coal is only a disclosed charcoal proxy upstream of an undifferentiated coal commodity.,"Add charcoal production, price and trade objects.",high,Turnover remains endogenous.
Agriculture heat fuel-mix validation,"Correct input costs may reveal distorted relative fuel economics; DOE 2024 energy and electricity share are benchmarks, not constraints.","Technology-specific agriculture heat stock, lifetime, fuel price and process evidence.",high,No fuel-share anchoring is permitted.
Partial land carbon pools,"Post-solve screen omits soil, deadwood, litter and harvested wood products.",Philippine land-transition matrix and inventory carbon pools.,high,Reported as partial rather than complete FOLU.
FIT incidence and financing,"The model has no household tariff, utility revenue or public-finance account, so a domestic feed-in-tariff transfer has no modeled payer.",Add an explicit distributional or fiscal account before treating FIT payments as welfare costs or revenues.,medium,Current runs publish gross generator receipts post-solve and retain only physical residue cost in the optimizer.
"Truck stock, survival, utilization and powertrain availability","The light/heavy freight stocks remain model-derived and aggregate LTO categories do not map one-to-one to freight classes; fuel-specific registrations, age cohorts and infrastructure availability are not retained.","LTO body-type/use/fuel microdata, deregistrations and age cohorts reconciled to freight service; observed vehicle-km and load factors; NG, hydrogen and EV market/infrastructure start dates.",high,The repair removes deterministic scarcity but does not claim the resulting endogenous non-EV powertrain mix reproduces history.
Plant-level cooling-system/source mapping,"The national model has fuel/technology aggregates but no condenser type, cooling loop or intake source by plant.","Plant-level cooling technology, withdrawal, consumption and freshwater/seawater intake register.",high,NREL withdrawal medians correct the scale; the technology mapping remains conservative and disclosed.
Technology-specific forced-outage and capacity-credit series,"DOE publishes dependable/nameplate values for the legacy aggregate fleets, not every prospective technology over 2020-2053.",Philippine plant-class outage histories and accredited capacity by reserve product.,high,New thermal AF/credit values are transparent planning assumptions; no dispatch is fitted.
Domestic biofuel feedstock chain,"A reconciled crop, residue, land, conversion-yield and trade balance is not available in the case.","Separate ethanol/biodiesel feedstock, conversion, import and blend commodities with land/resource reconciliation.",high,V23 disables the undefined domestic processor and uses a positive-cost border import instead.
Charcoal production and trade chain,"The model lacks kiln yields, wood source, charcoal prices and trade statistics.","Add explicit wood-to-charcoal conversion, sustainable feedstock, price and trade objects.",high,V23 retains only the closed initial stove stock as a biomass-energy proxy.
Storage and network deliverability in reserve accounting,The national copperplate has no zonal transmission topology and the reserve UDC uses annual grid throughput.,"Grid peak by region, interconnector transfer limits, reserve accreditation, outage distributions and storage capacity credit.",high,The timeslice balance still enforces energy adequacy; the reserve UDC adds a conservative firm-capacity planning margin.
Package 1 BASE solve-time regression,BASE wall time rose 46.5% even though the v23 presolved matrix is smaller; CBC iterations rose 29.9% and the reserve inequality binds in 25 years.,A controlled one-change diagnostic A/B with the reserve family removed if exact attribution becomes decision-relevant.,medium,Evidence points to harder simplex geometry from binding adequacy coupling and interacting corrections; no extra optimizer run was spent solely on attribution.
Endogenous crop/forest biomass availability,The detailed crop-gate and land-coproduct formulation caused an excessive CBC runtime increase; the minimal formulation uses conservative flat 2020 caps.,Reintroduce crop- and land-responsive supplies only with a numerically sparse formulation and a dedicated scenario-aware runtime A/B.,high,"Until upgraded, changes in modeled crop or forest area do not alter biomass ceilings."
"Separate generated, collected and uncollected biomass reporting",The minimal boundary reports delivered supply by destination but not physical residue generation or unused potential.,"A sparse physical residue account with soil-retention, open-burning and collection emissions.",medium,"This detail is not required to correct the price, shared-CHP feedstock or cooking defect."
Time-varying domestic biomass resource outlook,No defensible national 2021-2053 crop-residue and sustainable-wood projection was identified.,"Official long-run crop, forest-cover, sustainable-harvest and residue-recovery scenarios.",high,"Flat 2020 caps are conservative physical ceilings, not fixed activity."
Fuel-specific household cooking-energy calibration,DOE reports total household fuel use and PSA reports primary cooking fuel by household but the available tables do not provide 2020 fuel-specific cooking-only energy. The promoted 105.436 PJ useful-service value is therefore a transparent proxy not an exact end-use balance.,A nationally representative household energy survey reporting cooking-only quantities by fuel and device with matching stove efficiencies.,high,Use the observation to recalibrate final demand and initial stocks; do not force fuel shares or activity. The 2020 cooking PM2.5 benchmark is not improved by the present proxy.
Crop-specific long-run productivity projections,Comparable official forward yield paths are not available for all six model aggregates.,DA/PSA crop-specific outlooks or peer-reviewed Philippine projections on a consistent harvested-area basis.,medium,v24 uses one transparent 1% land-productivity assumption after observed 2024 anchors; scenario selection remains with the user.
Irrigation stock vintages and non-rice service allocation,The NIA total does not identify scheme commissioning/rehabilitation ages or crop allocation.,"NIA scheme-level commissioning, rehabilitation, service-area and crop records.",high,The v23 rice stock is maintained; no 69/31 share or retirement curve is forced.
Input-specific fertilizer N2O,No consistent fertilizer-N application rates are mapped to high/low crop modes and clusters.,PSA fertilizer use by crop/region plus IPCC direct and indirect N2O equations.,high,v24 installs the inventory-calibrated average on all managed crop modes rather than assigning zero emissions to low-input farming.
Land-use-change GHG in the LP,"Land conversion is a change in carbon stock, not a recurring annual activity factor.",Transition-specific activity-change coefficients with complete biomass and soil pools.,medium,Do not add recurring land-use-change EARs to annual crop production.
