source_id,provider,product,edition,reference_period,geography,variable,source_unit,exact_locator,url,access_date,license,sha256,local_file,notes
SRC_CROP_CODE_MAPPING,CLEWs GAEZ / Philippines v12 build,Crop-code mapping,4690597ac3511f402990b03ecfc4182f70b3850b,2020 crop selection,Philippines,FAOSTAT item names to GAEZ crop codes,categorical crop codes,evidence/inherited_base/build_snapshot/overrides/workflow/submodules/CLEWs_GAEZ/GAEZ_Processing/Data/Crop_code.csv,,2026-07-30,Apache-2.0 package; upstream/provider terms apply,39c7e0e4a0ef822d4179e0120f161d30c66cec4c948d50304406cc8a8352142c,evidence/inherited_base/build_snapshot/overrides/workflow/submodules/CLEWs_GAEZ/GAEZ_Processing/Data/Crop_code.csv,
SRC_PHL_GEOSPATIAL_SUMMARIES,Philippines v12 build,Cluster and land-cover summaries,4690597ac3511f402990b03ecfc4182f70b3850b,GAEZ v4 / 2020 build configuration,"Philippines, eight clusters","Cluster means for yield, water, precipitation and land-cover area",model coefficients; 10^3 km2 and 10^9 m3 conversions,evidence/inherited_base/build_snapshot/geospatial/summary_stats/PHL_Parameter_byCluster_summary.csv and PHL_LandCover_byCluster_summary.csv,,2026-07-30,Apache-2.0 package; source data retain provider terms,ce9182d9161f499565cdd49a2bf31743b9f6d5f0f1cc27ca746401491bce888f,evidence/inherited_base/build_snapshot/geospatial/summary_stats/PHL_Parameter_byCluster_summary.csv,
SRC_V10_ENERGY_DONOR,Philippines MUIO project,Philippines v10 donor energy system,v10 inherited into v12,2020-2053,Philippines,Historical v10 energy representation retained in the v12 MUIO archive,model-native,muio/Philippines_v15_v15.0.0_MUIO.zip; inherited energy values are present in the current model; retained dated correction notes are under evidence/inherited_base/v10/,,2026-07-30,Apache-2.0 package; original data retain provider terms,accbfbc73a5d51925e6c9c3ec0d301a246afe3052ee4c04a12aef6fc4536a848,evidence/CURRENT_MODEL_ARCHIVE_MANIFEST.csv,"Current values are preserved, but the original row-level bibliography remains an explicit gap."
SRC_V10_MODEL_FIXES,MUIOGO Philippines case history,Model fixes — 17 July 2026,e9f3823d11537655c9f7ddfd1b36a14f290eac56,v10 fixes recorded 2026-07-17,Philippines,"PM2.5, transport, orphan-technology and policy-constraint corrections",model-native; individual sections state converted units,evidence/inherited_base/v10/MODEL_FIXES_2026-07-17.md,,2026-07-30,MUIOGO repository license,f46d4647f0a80aaf0f6f9c868562d939c5e78a5ec1c9cbbecf05a3f0cd1e624c,evidence/inherited_base/v10/MODEL_FIXES_2026-07-17.md,
SRC_ENV_ARTIFACTS,Philippines v12 build,Environmental accounting artifacts,4690597ac3511f402990b03ecfc4182f70b3850b,"Base and PEP saved runs, 2026-07-25 to 2026-07-26",Philippines,"Land terminal, water reporting residuals and native emissions","10^3 km2, 10^9 m3 and MT",evidence/inherited_base/environmental_accounting/; solver-generated pivot backups are omitted because the final v15 archive retains the active source model,,2026-07-30,Apache-2.0 package,ce3b4f0727a35c05c3f3f27d58fcbeb2aa4c69f94276f789d1a80b7e56a6ce20,evidence/inherited_base/environmental_accounting/2026-07-25_env_land_final/validation.json,
SRC_ENV_METHOD_RECORD,Philippines v12 build,Environmental accounting calculation note,4690597ac3511f402990b03ecfc4182f70b3850b,implementation recorded 2026-07-25 to 2026-07-26,Philippines,"Accounting boundary, formulas, exactness tests and reporting-only fallback",method,evidence/inherited_base/calculation_notes/ENVIRONMENTAL_ACCOUNTING.md,,2026-07-30,Apache-2.0 package,07469563e7adc950e41ca9ed5ef23a6ff62388c87383a750e80e0a2999cabb5c,evidence/inherited_base/calculation_notes/ENVIRONMENTAL_ACCOUNTING.md,
SRC_GAEZ_YLD_HIGH_TABLE,FAO and IIASA / OSeMOSYS CLEWs GAEZ,GAEZ yield high-input selection table,30ec12e6524dc9c8ce474ffe1a467508f992007f,HadGEM2-ES RCP4.5 2011-2040,Philippines selection from global table,Potential crop yield raster catalogue,10kg dry weight per ha,GAEZ_Processing/Data/GAEZ_yld_High_Input.csv at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/GAEZ_yld_High_Input.csv,2026-08-05,FAO/IIASA provider terms,47121388a94a61cd7158e9f2ad9474d3480d93b2aa292e154868760bcf84a531,evidence/inherited_base/external_sources/land_agriculture_water/gaez_input_tables/GAEZ_yld_High_Input.csv,Exact upstream table; manifest records selected physical lines
SRC_GAEZ_YLD_LOW_TABLE,FAO and IIASA / OSeMOSYS CLEWs GAEZ,GAEZ yield low-input selection table,30ec12e6524dc9c8ce474ffe1a467508f992007f,CRUTS32 Historical 1981-2010,Philippines selection from global table,Potential crop yield raster catalogue,10kg dry weight per ha,GAEZ_Processing/Data/GAEZ_yld_Low_Input.csv at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/GAEZ_yld_Low_Input.csv,2026-08-05,FAO/IIASA provider terms,051c31b303930775bbe12229fd59b9257eed5d36b5a01c3249d4655e498a8beb,evidence/inherited_base/external_sources/land_agriculture_water/gaez_input_tables/GAEZ_yld_Low_Input.csv,Exact upstream table; no low-input Para rubber row exists
SRC_GAEZ_CWD_HIGH_TABLE,FAO and IIASA / OSeMOSYS CLEWs GAEZ,GAEZ crop-water-deficit high-input selection table,30ec12e6524dc9c8ce474ffe1a467508f992007f,HadGEM2-ES RCP4.5 2011-2040,Philippines selection from global table,Crop water deficit raster catalogue,mm,GAEZ_Processing/Data/GAEZ_cwd_High_Input.csv at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/GAEZ_cwd_High_Input.csv,2026-08-05,FAO/IIASA provider terms,900596e1d956adc18e2c77cbc3a07e50c7363f72897f350b88c6a2a2e7db3e9a,evidence/inherited_base/external_sources/land_agriculture_water/gaez_input_tables/GAEZ_cwd_High_Input.csv,Exact upstream table; manifest records selected physical lines
SRC_GAEZ_CWD_LOW_TABLE,FAO and IIASA / OSeMOSYS CLEWs GAEZ,GAEZ crop-water-deficit low-input selection table,30ec12e6524dc9c8ce474ffe1a467508f992007f,CRUTS32 Historical 1981-2010,Philippines selection from global table,Crop water deficit raster catalogue,mm,GAEZ_Processing/Data/GAEZ_cwd_Low_Input.csv at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/GAEZ_cwd_Low_Input.csv,2026-08-05,FAO/IIASA provider terms,6817b8d2561fac0bb7bfc38ba8076a50fd4d9e449815b78dfed8a9bb827afcd1,evidence/inherited_base/external_sources/land_agriculture_water/gaez_input_tables/GAEZ_cwd_Low_Input.csv,Exact upstream table; no low-input Para rubber row exists
SRC_GAEZ_EVT_HIGH_TABLE,FAO and IIASA / OSeMOSYS CLEWs GAEZ,GAEZ evapotranspiration high-input selection table,30ec12e6524dc9c8ce474ffe1a467508f992007f,HadGEM2-ES RCP4.5 2011-2040,Philippines selection from global table,Evapotranspiration raster catalogue,mm,GAEZ_Processing/Data/GAEZ_evt_High_Input.csv at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/GAEZ_evt_High_Input.csv,2026-08-05,FAO/IIASA provider terms,5e1df43709dfc16d94e690c0bacd76e8829d8e86cf747322a52467c7296e7cbc,evidence/inherited_base/external_sources/land_agriculture_water/gaez_input_tables/GAEZ_evt_High_Input.csv,Exact upstream table; manifest records selected physical lines
SRC_GAEZ_EVT_LOW_TABLE,FAO and IIASA / OSeMOSYS CLEWs GAEZ,GAEZ evapotranspiration low-input selection table,30ec12e6524dc9c8ce474ffe1a467508f992007f,CRUTS32 Historical 1981-2010,Philippines selection from global table,Evapotranspiration raster catalogue,mm,GAEZ_Processing/Data/GAEZ_evt_Low_Input.csv at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/GAEZ_evt_Low_Input.csv,2026-08-05,FAO/IIASA provider terms,c931c0d6c6dffff7936f3835f872560576ca6f739c2c99cea713bac92220a874,evidence/inherited_base/external_sources/land_agriculture_water/gaez_input_tables/GAEZ_evt_Low_Input.csv,Exact upstream table; no low-input Para rubber row exists
SRC_GAEZ_PHL_RASTER_MANIFEST,Philippines v12 provenance recovery,GAEZ Philippines crop-raster cache manifest,2026-08-05,High 2011-2040 and low 1981-2010,Philippines,Exact 90 selected crop raster filenames and download URLs,GAEZ source units by row,90 rows reconstructed from six pinned GAEZ selection tables with exact source CSV lines,,2026-08-05,Derived manifest; source rasters retain FAO/IIASA terms,d9325d79f75dd4dcbd26791aea133de811fbc217b783990a18d24b4959e87f26,evidence/inherited_base/external_sources/land_agriculture_water/gaez_input_tables/GAEZ_PHL_RASTER_CACHE_MANIFEST.csv,48 high-input and 42 low-input files; no low-input RUB records exist
SRC_GAEZ_BASE_RASTER_MANIFEST,Philippines v12 provenance recovery,GAEZ bundled base-raster manifest,2026-08-05,GAEZ workflow baseline,Philippines,Exact source paths URLs and checksums for precipitation and land cover rasters,one precipitation raster and one categorical land-cover raster,Two pinned CLEWs_GAEZ files seeded into the final 92-file cache,,2026-08-05,Derived manifest; source rasters retain FAO/IIASA terms,48745a54c23e22cde7ae82a69a77abbaa8bc6ed48f9aca0cfc7cfff54dd56486,evidence/inherited_base/external_sources/land_agriculture_water/gaez_base_rasters/GAEZ_BUNDLED_BASE_RASTERS.csv,Manifest checksums are verified against the two retained rasters
SRC_GAEZ_PRC_RASTER,FAO and IIASA / OSeMOSYS CLEWs GAEZ,Bundled precipitation raster,30ec12e6524dc9c8ce474ffe1a467508f992007f,GAEZ workflow baseline,Philippines,Precipitation,raster-native units,GAEZ_Processing/Data/input/precipitation prc.tif at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/input/precipitation%20prc.tif,2026-08-05,FAO/IIASA provider terms,c72b8cec38ea31755b9d6f02e518571f41f7d39ae2f5913ee64a14077079d83b,evidence/inherited_base/external_sources/land_agriculture_water/gaez_base_rasters/precipitation prc.tif,Exact pinned repository bytes
SRC_GAEZ_LCTYPE_RASTER,FAO and IIASA / OSeMOSYS CLEWs GAEZ,Bundled land-cover raster,30ec12e6524dc9c8ce474ffe1a467508f992007f,2010 land-cover baseline,Philippines,Land-cover class,categorical raster,GAEZ_Processing/Data/input/LCType_ncb.tif at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/input/LCType_ncb.tif,2026-08-05,FAO/IIASA provider terms,17b77aa5fd7b56a4570119026034c0f3137b9e906c741c684556f762c34a30db,evidence/inherited_base/external_sources/land_agriculture_water/gaez_base_rasters/LCType_ncb.tif,Exact pinned repository bytes
SRC_FAOSTAT_HARVESTED_FILE,FAO / OSeMOSYS CLEWs GAEZ,FAOSTAT_2020.csv,30ec12e6524dc9c8ce474ffe1a467508f992007f,2020,Philippines M49 608,Crop and livestock products Area harvested Element 5312,ha,GAEZ_Processing/Data/FAOSTAT_2020.csv at pinned CLEWs_GAEZ commit,https://raw.githubusercontent.com/OSeMOSYS/CLEWs_GAEZ/30ec12e6524dc9c8ce474ffe1a467508f992007f/GAEZ_Processing/Data/FAOSTAT_2020.csv,2026-08-05,FAOSTAT terms of use,082da2e1c708ea6f9837b021143eb193d9f240b0700be367d80ab91cfeb259b9,evidence/inherited_base/external_sources/land_agriculture_water/faostat/FAOSTAT_2020.csv,9908 data rows; exact selected rows and flags retained separately
SRC_FAOSTAT_PRODUCTION_FILE,FAO / DeltaE CLEWs Global,FAOSTAT_production_2020.csv,8df78c66be104e446f84a7dbb0df1c0a4fda4080,2020,Philippines M49 608,Crop and livestock products Production Element 5510,t,data/FAOSTAT_production_2020.csv at pinned CLEWs_Global commit,https://raw.githubusercontent.com/DeltaE/CLEWs_Global/8df78c66be104e446f84a7dbb0df1c0a4fda4080/data/FAOSTAT_production_2020.csv,2026-08-05,FAOSTAT terms of use,51fe2f975b0d57ddcca0e4da860b12c89b7aa9a9daa41b3fe13df77fd746a14f,evidence/inherited_base/external_sources/land_agriculture_water/faostat/FAOSTAT_production_2020.csv,10111 data rows; exact selected rows and flags retained separately
SRC_FAOSTAT_PHL_SELECTION,Philippines v12 provenance recovery,FAOSTAT Philippines 2020 exact crop selection,2026-08-05,2020,Philippines,Ten selected crop rows with source lines proxies and model groups,ha and t,Rows selected by the retained clewsy workflow and reconciled to both exact input files,,2026-08-05,Derived selection; underlying FAOSTAT terms apply,f1aff540fc2a3187548a9cc6b79b602baa7a6031b73e44c633974b56a31920bf,evidence/inherited_base/external_sources/land_agriculture_water/faostat/FAOSTAT_PHL_2020_SELECTION.csv,Preserves leading-zero CPC codes and source physical line numbers
SRC_SSP2_POP_WORKBOOK,IIASA-WiC / OSeMOSYS Global,iamc_db_POP_Countries.xlsx,SSP Public Database Version 2.0,2010-2100,Philippines PHL,SSP2 population,million,data sheet row 1373; Recommended Citation sheet reports generated 2020-06-20 12:30:41,https://raw.githubusercontent.com/OSeMOSYS/osemosys_global/036fdd07cc0dc31df1649cdc1689a8aa35a83a36/osemosys_global/resources/data/default/iamc_db_POP_Countries.xlsx,2026-08-05,SSP Public Database terms,e013c76eacd95a2e0f6275446e9d1e71bdfb9556eab1c6619a5b0d7914ecab35,evidence/inherited_base/external_sources/land_agriculture_water/ssp2/iamc_db_POP_Countries.xlsx,Exact pinned workbook; selected range data!A1373:Y1373
SRC_SSP2_PHL_ROW,Philippines v12 provenance recovery,Exact SSP2 Philippines population row,2026-08-05,2010-2100,Philippines PHL,IIASA-WiC POP SSP2 Population,million,data!A1373:Y1373 from iamc_db_POP_Countries.xlsx,,2026-08-05,Derived extract; SSP Public Database terms apply,a380ec78c557c93d491decfda48f41e2ac928c8776cd196c5f5ddb4d13f0d07c,evidence/inherited_base/external_sources/land_agriculture_water/ssp2/SSP2_PHL_SELECTED_ROW.csv,Exact row identity and all five-year values retained
SRC_SSP2_PHL_ANNUAL_INDEX,Philippines v12 provenance recovery,Annual SSP2 Philippines population index,2026-08-05,2020-2053,Philippines PHL,Annual interpolated and normalized population,million and relative index 2020=1,Derived exactly as get_growth_factors in overrides/workflow/scripts/clewsy.py,,2026-08-05,Derived series; SSP Public Database terms apply,a9c7297c06d33e07c512a38fd921eb02a7517a18a27e2cfef16f9fb9f8fd343c,evidence/inherited_base/external_sources/land_agriculture_water/ssp2/SSP2_PHL_ANNUAL_INDEX_2020_2053.csv,2051-2053 equal the 2050 value because the annual left index ends before the 2055 observation
SRC_PHL_V12_WORKFLOW_FORENSICS,Codex task record,Philippines v12 build-session event index,019f9991-7a2d-72a0-8fa1-6820178dd177,2026-07-25,Philippines,"GAEZ cache preparation, reruns, final workflow and workbook inspection",UTC event log,Extracted from raw session JSONL SHA-256 b472410035d9f1eb61e3142a3f5b9311c8ec8a872d2b6d83728fd39b18555f65,,2026-08-05,Internal build record,b553b2939790a855c010bb5491e8052d7f653c4c851f5d102eaa5ed397f49250,evidence/inherited_base/external_sources/land_agriculture_water/workflow/WORKFLOW_SESSION_EVENTS.csv,Original temporary Snakemake logs were not frozen; material events survive in the raw session and this index
SRC_PHL_V14_CASE,Philippines v15 retained evidence,Retained v13 calibration and v14 stock-turnover record,records frozen in v15 on 2026-08-05,2020-2053,Philippines,"Exact v13 calibration specification, v14 calculation and assumption tables, 3,253 cell changes, and validation records",mixed MUIO model units,evidence/stock_turnover/legacy_tables/ and evidence/stock_turnover/documentation/,,2026-08-04,Repository license,a051b439890891a1d433a09ae4760f55fc497023762f3972b7b92cb7410225fb,evidence/stock_turnover/documentation/stock_turnover_generation.json,Historical label retained for compatibility; no live v14 folder or external version package is required.
SRC_PHL_WATER_SNAPSHOT,MUIOGO research compilation,Philippines precipitation SSP2-4.5 and national water evidence snapshot,2026-08-03,1950-2025 observations; 1991-2020 normal; 2020-2059 projections; 2020-2053 model path,Philippines,"ERA5 precipitation, CMIP6 SSP2-4.5 anomalies, national water potential, groundwater evidence and limitations",mm/year; km3/year; percent; model metadata,snapshots/philippines_water_precipitation_ssp245.json; individual JSON paths and URLs are stated inside the file,https://github.com/EAPD-DRB/MUIOGO/blob/main/scripts/data/philippines_water_precipitation_ssp245.json,2026-08-03,Repository compilation; underlying-source terms apply,97f024db29f4d5a2df7440c5414949cbadbefd726bea74d8f790f648948c548d,snapshots/philippines_water_precipitation_ssp245.json,"Normalized retained evidence used by the generator. The digest is for the compilation, not each remote HTTP response body."
SRC_WB_CCKP_ERA5_PHL_TS,World Bank Climate Change Knowledge Portal,ERA5 0.25-degree annual precipitation country-mean timeseries,ERA5/ERA5T,1950-2025,Philippines ISO3 PHL; national spatial mean,pr precipitation,mm/year,API route era5-x0.25_timeseries_pr_timeseries_annual_1950-2025_mean_historical_era5_x0.25_mean/PHL; normalized values at observed_annual_mm_per_year.series,https://cckpapi.worldbank.org/cckp/v1/era5-x0.25_timeseries_pr_timeseries_annual_1950-2025_mean_historical_era5_x0.25_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,"2024-2025 rely on preliminary ERA5T inputs and may be revised; annual observations are context, not individually installed model years."
SRC_WB_CCKP_ERA5_PHL_NORMAL,World Bank Climate Change Knowledge Portal,ERA5 0.25-degree precipitation climatology,ERA5,1991-2020,Philippines ISO3 PHL; national spatial mean,Annual precipitation climatology,mm/year,API route era5-x0.25_climatology_pr_climatology_annual_1991-2020_mean_historical_era5_x0.25_mean/PHL; value 2658.12,https://cckpapi.worldbank.org/cckp/v1/era5-x0.25_climatology_pr_climatology_annual_1991-2020_mean_historical_era5_x0.25_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Installed as the 2020 hydrology depth anchor after rebasing the inherited national land block.
SRC_WB_CCKP_CMIP6_PHL_HIST,World Bank Climate Change Knowledge Portal,CMIP6 0.25-degree multi-model ensemble historical precipitation climatology,ensemble median,1995-2014,Philippines ISO3 PHL; national spatial mean,Historical annual precipitation climatology,mm/year,API route cmip6-x0.25_climatology_pr_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PHL; value 2477.61,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_pr_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Used only as the denominator for relative SSP2-4.5 anomalies; absolute projected climatologies are not mixed with ERA5.
SRC_WB_CCKP_CMIP6_PHL_SSP245_2030,World Bank Climate Change Knowledge Portal,CMIP6 SSP2-4.5 annual precipitation anomaly,ensemble median,2020-2039 represented at midpoint 2030,Philippines ISO3 PHL; national spatial mean,Annual precipitation anomaly,mm/year,API route cmip6-x0.25_climatology_pr_anomaly_annual_2020-2039_median_ssp245_ensemble_all_mean/PHL; value 25.08,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_pr_anomaly_annual_2020-2039_median_ssp245_ensemble_all_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Installed through the relative multiplier 1 + 25.08/2477.61.
SRC_WB_CCKP_CMIP6_PHL_SSP245_2050,World Bank Climate Change Knowledge Portal,CMIP6 SSP2-4.5 annual precipitation anomaly,ensemble median,2040-2059 represented at midpoint 2050,Philippines ISO3 PHL; national spatial mean,Annual precipitation anomaly,mm/year,API route cmip6-x0.25_climatology_pr_anomaly_annual_2040-2059_median_ssp245_ensemble_all_mean/PHL; value 106.77,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_pr_anomaly_annual_2040-2059_median_ssp245_ensemble_all_mean/PHL?_format=json,2026-08-03,CC BY 4.0 under World Bank CCKP metadata,,,Installed through the relative multiplier 1 + 106.77/2477.61.
SRC_WB_CCKP_METADATA,World Bank Climate Change Knowledge Portal,CCKP metadata and data-download documentation,current at access,Historical and CMIP6 projection products,Global,"Product definitions, 20-year projection windows, ensemble statistics, scenario names and licensing",metadata,CCKP metadata; precipitation pr; SSP2-4.5; 2020-2039 and 2040-2059 windows,https://climateknowledgeportal.worldbank.org/metadata,2026-08-04,CC BY 4.0,,,Supports interpretation and licensing; it does not supply a separate model coefficient.
SRC_IPCC_AR6_SSP245,Intergovernmental Panel on Climate Change,AR6 Working Group I Chapter 1,AR6,CMIP6 scenario framework,Global,SSP2-4.5 forcing-class interpretation relative to RCP4.5,W/m2 forcing class; scenario metadata,"Chapter 1 discussion of SSP and RCP scenario families; SSP2-4.5 is the 4.5 W/m2-class analogue, not the identical RCP4.5 experiment",https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-1/,2026-08-03,IPCC publication terms,,,Used to answer the requested RCP4.5-or-equivalent framing; no IPCC numeric precipitation value is installed.
SRC_DEPDEV_WATER_POLICY_NOTE,"Philippine Department of Economy, Planning and Development",Policy Note on the Philippine Water Sector,2024 policy note,National planning benchmark,Philippines,Surface-water potential 125790 MCM/year; groundwater potential 20200 MCM/year; total 145990 MCM/year,MCM/year,"Overview of Water Resources in the Philippines, page 6; figures attributed to the Philippine Water Supply and Sanitation Master Plan",https://www.depdev.gov.ph/wp-content/uploads/2024/05/Policy-Note-on-the-Philippine-Water-Sector.pdf,2026-08-04,Philippine government publication,,,Primary installed source for the two national withdrawal-ceiling sensitivities. Potential is not dependable yield or safe yield.
SRC_PDP_2023_2028_CH12,National Economic and Development Authority,Philippine Development Plan 2023-2028 Chapter 12: Expand and Upgrade Infrastructure,PDP 2023-2028,National planning benchmark,Philippines,Annual freshwater potential 146.0 billion m3 including 20.2 billion m3 groundwater; about 2.0 billion m3 domestic/municipal groundwater,billion m3/year,"Chapter 12, page 261",https://pdp.neda.gov.ph/wp-content/uploads/2023/07/Chapter-12.pdf,2026-08-04,Philippine government publication,,,Independent national cross-check for the groundwater potential; not an aquifer-stock estimate.
