MapId,Sector,ModelElement,File,Parameter,Years,Meaning,SourceIds,AssumptionIds,CalculationIds,Status,Notes
MAP-TURN_SER_HEAT-TURN,Services heat,TURN_SER_HEAT,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_SER_HEAT-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_HOU_COOK-RC,Household cooking,PHL_HOU_COOK_OIL;PHL_HOU_COOK_ELE;PHL_HOU_COOK_NG;PHL_HOU_COOK_COAL;PHL_HOU_COOK_BIOM,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-PSA-CPH-2020;DS-MODEL-V13,AS-COOK-MAP;AS-COOK-LIFE;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP,CAL-TURN_HOU_COOK-STOCK,implemented,
MAP-TURN_HOU_COOK-TURN,Household cooking,TURN_HOU_COOK,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-PSA-CPH-2020;DS-MODEL-V13,AS-COOK-MAP;AS-COOK-LIFE;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP,CAL-TURN_HOU_COOK-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_SHIP-RC,Domestic navigation,PHL_TRA_SHIP_AMMO;PHL_TRA_SHIP_LIQ,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_SHIP-STOCK,implemented,
MAP-TURN_SHIP-TURN,Domestic navigation,TURN_SHIP,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_SHIP-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_RAILF-RC,Freight rail,PHL_TRA_RAILF_H2;PHL_TRA_RAILF_LIQ;PHL_TRA_RAILF_ELE,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_RAILF-STOCK,implemented,
MAP-TURN_RAILF-TURN,Freight rail,TURN_RAILF,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_RAILF-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_RAILP-RC,Passenger rail,PHL_TRA_RAILP_H2;PHL_TRA_RAILP_LIQ;PHL_TRA_RAILP_ELE,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_RAILP-STOCK,implemented,
MAP-TURN_RAILP-TURN,Passenger rail,TURN_RAILP,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_RAILP-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_AVI-RC,Aviation,PHL_TRA_AVI_LIQ,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_AVI-STOCK,implemented,
MAP-TURN_AVI-TURN,Aviation,TURN_AVI,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_AVI-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_TRUL-RC,Light road freight,PHL_TRA_TRUL_ELE;PHL_TRA_TRUL_PHEV;PHL_TRA_TRUL_LIQ;PHL_TRA_TRUL_NG;PHL_TRA_TRUL_H2,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-LTO-AR-2020;DS-PSA-PSY-2020;DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_TRUL-STOCK,implemented,
MAP-TURN_TRUL-TURN,Light road freight,TURN_TRUL,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-LTO-AR-2020;DS-PSA-PSY-2020;DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_TRUL-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_TRUH-RC,Heavy road freight,PHL_TRA_TRUH_H2;PHL_TRA_TRUH_PHEV;PHL_TRA_TRUH_NG;PHL_TRA_TRUH_LIQ;PHL_TRA_TRUH_ELE,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-LTO-AR-2020;DS-PSA-PSY-2020;DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_TRUH-STOCK,implemented,
MAP-TURN_TRUH-TURN,Heavy road freight,TURN_TRUH,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-LTO-AR-2020;DS-PSA-PSY-2020;DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_TRUH-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_VAN-RC,Vans,PHL_TRA_VAN_PHEV;PHL_TRA_VAN_H2;PHL_TRA_VAN_LIQ;PHL_TRA_VAN_NG;PHL_TRA_VAN_ELE,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-LTO-AR-2020;DS-PSA-PSY-2020;DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_VAN-STOCK,implemented,
MAP-TURN_VAN-TURN,Vans,TURN_VAN,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-LTO-AR-2020;DS-PSA-PSY-2020;DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_VAN-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_BUS-RC,Buses,PHL_TRA_BUS_ELE;PHL_TRA_BUS_LIQ;PHL_TRA_BUS_NG;PHL_TRA_BUS_PHEV;PHL_TRA_BUS_H2,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-LTO-AR-2020;DS-PSA-PSY-2020,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP,CAL-TURN_BUS-STOCK,implemented,
MAP-TURN_BUS-TURN,Buses,TURN_BUS,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-LTO-AR-2020;DS-PSA-PSY-2020,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP,CAL-TURN_BUS-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_CAR-RC,Cars,PHL_TRA_CAR_H2;PHL_TRA_CAR_PHEV;PHL_TRA_CAR_NG;PHL_TRA_CAR_LIQ;PHL_TRA_CAR_ELE,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-LTO-AR-2020;DS-PSA-PSY-2020,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP,CAL-TURN_CAR-STOCK,implemented,
MAP-TURN_CAR-TURN,Cars,TURN_CAR,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-LTO-AR-2020;DS-PSA-PSY-2020,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP,CAL-TURN_CAR-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_23WHEEL-RC,Motorcycles and tricycles,PHL_TRA_23WHEEL_NG;PHL_TRA_23WHEEL_LIQ;PHL_TRA_23WHEEL_ELE,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-LTO-AR-2020;DS-PSA-PSY-2020,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP,CAL-TURN_23WHEEL-STOCK,implemented,
MAP-TURN_23WHEEL-TURN,Motorcycles and tricycles,TURN_23WHEEL,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-LTO-AR-2020;DS-PSA-PSY-2020,AS-ROAD-MAP;AS-ROAD-TURN;AS-UNIFORM-AGE;AS-TECH-ADOPTION-CAP,CAL-TURN_23WHEEL-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
